,scenario_id,roaduser_id,startx_axis,starty_axis,endx_axis,endy_axis,speed,max_speed,numberofcycle,start_cycle,user_type,group_size,group_number,group_id
89,17,99.0,17.73257979959869,26.73396457595919,18.393521492952765,45.20030130921969,2.0,3.0,1536,1512,1,0,0,100
90,17,216.0,18.656264476486108,43.83827420627372,19.16046313198233,29.303737426711677,2.0,3.0,1536,1512,3,3,1,0
91,17,217.0,19.44450417941692,43.71563401453135,19.658221344832945,29.139213180924756,2.0,3.0,1536,1512,3,3,1,0
92,17,218.0,18.799206556453438,44.82481378434618,20.273797309048994,29.589845938490207,2.0,3.0,1536,1512,3,3,1,0
93,18,108.0,20.758839281955456,3.2744361911918918,16.972137800440642,11.51027375683088,3.0,5.0,1665,1658,2,0,0,100
94,18,107.0,18.35766623421883,10.546096184735527,18.31464492047682,38.02842298909525,2.0,3.0,1665,1627,1,0,0,100
95,18,103.0,19.226745135262163,11.985473907279003,18.97400843963604,36.00726032242687,2.0,3.0,1665,1626,3,4,1,0
96,18,104.0,19.77244156013738,11.650414136605788,20.923707511899657,35.689107879134085,2.0,3.0,1665,1626,3,4,1,0
97,18,105.0,20.241483247560588,11.707492242139269,19.729279297841817,34.35349287816803,2.0,3.0,1665,1626,3,4,1,0
98,18,106.0,20.825127574910184,10.984586060387818,20.583352122118324,33.77519585474366,2.0,3.0,1665,1626,3,4,1,0
99,19,137.0,19.62316437740299,12.088832057596115,16.82323132534024,47.615355334941505,2.0,3.0,2120,2067,3,2,1,0
100,19,138.0,20.40012181588702,11.963871473684588,17.625118640951246,47.70831512051652,2.0,3.0,2120,2067,3,2,1,0
101,19,139.0,19.938058537322338,10.108746613126938,16.915867081117977,49.76065054555692,2.0,3.0,2120,2067,1,0,0,100
