,s_id,roaduser_id,startx_axis,starty_axis,endx_axis,endy_axis,speed,max_speed,numberofcycle,start_cycle,user_type
164,49,p248,47.13303477,31.18071504,39.922710812566876,47.7955025793336,0.817182669,1.2,1067,1050,1
165,49,p251,42.36309755,31.88621589,47.94868485721944,49.061581248136825,1.668796121,1.2,1067,1050,1
166,49,p252,41.80806651,30.30349526,49.94228249679452,46.71811366909468,1.7860846000000001,1.2,1067,1050,1
167,50,v58,70.46529654,43.82859493,110.13961964717055,69.8645983068306,3.3190485460000003,4,1072,1054,2
168,50,p339,79.10776708,51.20172464,87.31607666961567,37.33181709204471,1.18654687,1.2,1072,1054,1
169,51,p314,60.54724423,40.27446433,50.82615353944571,54.346371893770915,1.41212028,1.2,1097,1079,1
170,51,p343,59.95320213,43.88030781,68.18685682649381,29.54340078185674,0.453379074,1.2,1100,1079,1
171,51,v89,72.03997149,47.82555088,30.148672669877662,20.733250871888714,4.372698515,4,1100,1079,2
172,52,v61,49.85795641,32.06665215,84.47261315558441,55.722289119697464,1.90468784,4,1136,1118,2
173,52,v62,42.26852048,27.29321027,78.92274345098461,51.339027818813875,3.185039367,4,1136,1118,2
174,52,p261,56.09674989,35.1330563,47.165305462731695,49.80137237500849,1.567877073,1.2,1136,1119,1
175,52,p262,56.46395695,35.98781497,47.82575308979632,49.52157586773133,1.596139045,1.2,1135,1120,1
176,53,v64,36.63527941,23.09661146,73.02492470693986,48.39336100933541,1.4049117290000002,4,1159,1142,2
177,53,p221,40.82121861,30.07344085,48.80744155474078,14.393878030136134,1.232522067,1.2,1159,1142,1
178,54,v65,55.88597096,35.57577484,103.48117339638694,62.72975951471639,5.814902701,4,1182,1166,2
179,54,p317,66.5640003,38.04076655,64.78131672292353,52.83031894780051,0.521105112,1.2,1182,1166,1
180,55,v90,63.86982003,42.71290872,22.325522189280697,20.854702539090027,1.713541744,4,1122,1106,2
181,55,p344,57.41525128,42.79108474,64.3109331377704,31.229215682724558,0.9153205640000001,1.2,1122,1106,1
182,56,v59,53.08517714,34.21366253,92.84640383411386,55.911678252925114,2.400178417,4,1106,1089,2
183,56,p343,61.94002402,40.44553272,69.18260421336838,26.759815305132506,1.129617307,1.2,1106,1089,1
184,56,p340,62.59013137,37.00957296,68.61829652453267,23.805891196617477,0.900187442,1.2,1104,1089,1
185,57,p344,57.41525128,42.79108474,65.33727605844352,29.925421245221973,0.9153205640000001,1.2,1128,1106,1
